iter	Passed	Remaining
0	0	97
1	2	108
2	3	102
3	4	96
4	4	94
5	5	93
6	8	108
7	9	111
8	10	110
9	12	110
10	13	112
11	15	111
12	17	113
13	18	110
14	19	109
15	20	107
16	21	104
17	22	101
18	23	98
19	24	96
20	25	94
21	26	92
22	26	90
23	27	88
24	28	86
25	29	84
26	30	83
27	31	81
28	33	81
29	34	80
30	35	78
31	36	77
32	37	76
33	38	74
34	39	73
35	40	71
36	41	70
37	42	69
38	43	68
39	44	66
40	45	65
41	46	63
42	47	62
43	48	61
44	50	61
45	51	59
46	52	58
47	53	57
48	54	56
49	55	55
50	56	54
51	57	53
52	59	52
53	60	51
54	61	50
55	62	49
56	63	47
57	66	48
58	68	47
59	69	46
60	71	45
61	72	44
62	73	43
63	74	42
64	76	41
65	77	39
66	78	38
67	78	37
68	79	35
69	80	34
70	81	33
71	82	32
72	83	31
73	85	29
74	86	28
75	87	27
76	88	26
77	89	25
78	90	24
79	91	22
80	92	21
81	93	20
82	94	19
83	95	18
84	96	17
85	97	15
86	98	14
87	99	13
88	101	12
89	102	11
90	103	10
91	104	9
92	105	7
93	106	6
94	107	5
95	108	4
96	109	3
97	110	2
98	111	1
99	112	0
